PRODUCT_LINE,INDEX,NAME,BOARDID,BOMREV,DESC,FILE,T1FILE,QRCHECK,FCD_ID,SW_ID
UniFiSwitch,0,USW-16,ed23,113-02943,UBNT UniFiSwitch 16,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-XG-48-POE,eb26,113-02792,UBNT UniFiSwitch XG 48-Port PoE,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,US-24-250W,eb31,113-02147,UBNT UniFiSwitch 24-Port 250W,us_bcm5334x_factory.py,us_bcm5334x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-Aggregation,ed2d,113-03138,UBNT UniFiSwitch Aggregation,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-48-PRO,eb68,113-02952,UBNT UniFiSwitch 48-Port Pro,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-24,ed24,113-02944,UBNT UniFiSwitch 24,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-Enterprise-8-PoE,ed41,113-03188,UniFi Switch Enterprise 8-port PoE,us_mrvl_factory.py,,True,0002,0201
UniFiSwitch,0,USW-16-POE,ed20,113-02848,UBNT UniFiSwitch 16 POE,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,US-48,eb60,113-02295,UBNT UniFiSwitch 48-Port (BCM),us_bcm5334x_factory.py,us_bcm5334x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-48-PRO-POE,eb67,113-02757,UBNT UniFiSwitch 48-Port Pro PoE,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-FLEX-XG,ed40,113-03166,UniFi Switch Flex XG,us_mrvl_factory.py,,True,0002,0201
UniFiSwitch,0,USW-24-PRO,eb37,113-02953,UBNT UniFiSwitch 24-Port Pro,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-LITE-8-POE,ed2a,113-02992,UBNT UniFiSwitch Lite 8 POE,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-Enterprise-24-PoE,eb38,113-03154,UniFi Switch Enterprise 24 PoE,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-MISSION-CRITICAL,ed2c,113-02730,UBNT UniFiSwitch Mission Critical,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-24-POE,ed21,113-02831,UBNT UniFiSwitch 24 POE,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,US-FLEX,ed10,113-02767,UniFi Switch Flex,us_mt7621_factory.py,unifi_mt7621_mfg.py,True,0002,0201
UniFiSwitch,0,USW-FLEX-MINI,ed30,113-02851,UniFi Switch Flex Mini,us_m487_factory.py,us_m487_mfg.py,True,0002,0201
UniFiSwitch,0,USW-24-PRO-POE,eb36,113-02779,UBNT UniFiSwitch 24-Port Pro PoE,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-SPINE,f062,113-02932,UniFi Super Switch Spine,us_udc-alpine_factory.py,,True,0002,0201
UniFiSwitch,0,USW-EnterpriseXG-24,eb29,113-03112,UniFiSwitch EnterpriseXG 24,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-Enterprise-48-PoE,eb28,113-03213,UniFi Switch Enterprise 48 PoE,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-LEAF-PRO,f063,113-03162,UniFi Super Switch 48-port,us_udc-alpine_factory.py,,True,0002,0201
UniFiSwitch,0,US-8-60W,eb18,113-02341,UniFi Switch 8-port 60W,us_bcm5334x_factory.py,us_bcm5334x_mfg.py,True,0002,0201
UniFiSwitch,0,US-6XG-150,eb23,113-02604,UBNT UniFiSwitch 6XG,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-48-POE,ed22,113-02865,UBNT UniFiSwitch 48 POE,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiNVR,0,UNVR-PRO,ea20,113-03137,UniFi Protect NVR Pro,unas_alpine_factory.py,,True,0006,0801
UniFiNVR,0,UNVR-4,ea1a,113-03192,UniFi NVR,unas_alpine_factory.py,,True,0006,0801
UniFiNVR,0,UNVR-PRO,ea21,113-03026,UniFi Protect NVR AI,unas_alpine_factory.py,,True,0006,0801
UniFiNVR,0,UNVR-HD,ea30,113-03298,UniFi Protect NVR HD,unas_alpine_factory.py,,True,0006,0801
UbiquitiNMS,0,UNMS-S-LITE,eed0,113-00817,Ubiquiti Network Management System Switch Lite,unms_rtl838x_factory.py,,True,000f,1a01
UbiquitiNMS,0,UISP-S-PRO,eed1,113-01019,Ubiquiti Network Management System Switch PRO,unms_rtl838x_factory.py,,True,000f,1a01
UbiquitiNMS,0,UISP-R-PRO,ee6a,113-00815,Ubiquiti Network Management System Router Pro,unms_alpine_factory.py,,True,000f,1a01
UbiquitiNMS,0,UISP-P-PRO,ee5b,113-00822,Ubiquiti Internet Service Provider Power PRO,uisp_qca9531_factory.py,,True,000f,1a01
UbiquitiNMS,0,UISP-P,ee5a,113-00990,Ubiquiti Internet Service Provider Power,uisp_qca9531_factory.py,,True,000f,1a01
UbiquitiNMS,0,UISP-O-LITE,ee6c,113-00819,Ubiquiti Network Management System Outdoor Lite,unms_mt7621_factory.py,,True,000f,1a01
UbiquitiNMS,0,UISP-O-PRO,eed3,113-00820,UISP outdoor PRO,unms_rtl838x_factory.py,,True,000f,1a01
UbiquitiNMS,0,UISP-S,ee6f,113-00988,Ubiquiti Network Management System Switch,unms_rtl838x_factory.py,,True,000f,1a01
UbiquitiNMS,0,UISP-CONSOLE,ee6a,113-00973,Ubiquiti Network Management System Router Console,unms_alpine_factory.py,,True,000f,1a01
UbiquitiNMS,0,UISP-P-LITE,eefa,113-00821,Ubiquiti Internet Service Provider Power Lite,uisp_ar933x_factory.py,,True,000f,1a01
UbiquitiNMS,0,UISP-LTE-EU,dca3,113-00832,Ubiquiti Network Management System LTE EU version,unms_qca9563_factory.py,,False,000f,1a01
UbiquitiNMS,0,UISP-LTE-US,dca2,113-00782,Ubiquiti Network Management System LTE US version,unms_qca9563_factory.py,,False,000f,1a01
UbiquitiNMS,0,UISP-R-PRO-XG,ee6d,113-00816,Ubiquiti Network Management System Router Pro XG,unms_alpine_factory.py,,True,000f,1a01
UbiquitiNMS,0,UISP-S-PRO,eed1,113-00818,Ubiquiti Network Management System Switch PRO,unms_rtl838x_factory.py,,True,000f,1a01
UbiquitiNMS,0,UISP-R,ee6e,113-00989,Ubiquiti Network Management System Router,unms_mt7621_factory.py,,True,000f,1a01
UbiquitiNMS,0,UISP-S-LITE,ee50,113-00900,Ubiquiti Network Management System Switch Lite,unms_rtl838x_factory.py,,True,000f,1a01
UniFiCK,0,UCKP,e970,113-02570,UniFi CloudKey Pluss,uck_apq8053_factory.py,,True,0c01
USP,0,USP-PDU-PRO,ed12,113-00986,UniFi Smart Power PDU PRO,usp_mt7628_factory.py,,True,000e,1801
USP,0,USP-Plug,ee73,113-00731,UniFi smart plug,usp_esp8266_factory.py,,True,000e,1801
USP,0,USP-STRIP_896,ee74,113-00896,Unifi Smart Power STRIP,usp_esp8266_factory.py,,True,000e,1801
USP,0,USP8,e648,113-00365,Unifi Smart Plug 8,unifi_ar9331_factory.py,,True,000e,1801
USP,0,USP-PDU-PRO,ed12,113-03098,UniFi Smart Power PDU PRO,usp_mt7628_factory.py,,True,000e,1801
USP,0,USP-STRIP_777,ee74,113-00777,Unifi Smart Power STRIP,usp_esp8266_factory.py,,True,000e,1801
USP,0,USP-RPS,ed11,113-02781,UniFi SmartPower RPS,us_mt7621_factory.py,,True,0002,0201
USP,0,USP3,e643,113-00364,Unifi Smart Plug 3,unifi_ar9331_factory.py,,True,000e,1801
USP,0,USP-RPS-PRO,ed13,113-03086,UniFi SmartPower RPS PRO,us_mt7621_factory.py,,True,0002,0201
Connect,0,UCD-7-B,ef80,113-03168,UniFi Connect Display 7 (BLE),connect_apq8053_factory.py,,True,1c01
Connect,0,LVDU-4,ec3d,113-03076,Low Voltage Distribution Unit 4 Ports,uap_qca953x_factory.py,,True,0011,1c01
Connect,0,UCD-7,ef87,113-03383,UniFi Connect Disply 7 (BLE/WiFi),connect_apq8053_factory.py,,True,1c01
Connect,0,UC-THERMOSTAT,ec47,113-03232,,ufc_esp32_factory.py,,True,0011,1c01
Connect,0,UCD-21,ef83,113-03287,UniFi Connect Display 21,connect_apq8053_factory.py,,True,1c01
Connect,0,UCD-13-B,ef81,113-03182,UniFi Connect Display 13 (BLE),connect_apq8053_factory.py,,True,1c01
Connect,0,UCD-13,ef88,113-03396,UniFi Connect Disply 13 (BLE/WiFi),connect_apq8053_factory.py,,True,1c01
